"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"306";"Rok nezadán";"15";"OKS-07";"VERY_HIGH";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:18";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"656";"1";"0";"SUCCESS";"2024/04/14 13:06:16";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"306";"Rok nezadán";"15";"OKS-07";"VERY_HIGH";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:18";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"657";"2";"0";"SUCCESS";"2024/04/14 13:06:17";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"306";"Rok nezadán";"15";"OKS-07";"VERY_HIGH";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:18";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"658";"3";"0";"SUCCESS";"2024/04/14 13:06:18";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"306";"Rok nezadán";"15";"OKS-07";"VERY_HIGH";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:18";"TC.04.03.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"655";"4";"0";"SUCCESS";"2024/04/14 13:06:11";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"307";"Rok vìdecká notace E";"15";"OKS-07";"LOW";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:55";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"659";"1";"0";"SUCCESS";"2024/04/14 13:06:35";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"307";"Rok vìdecká notace E";"15";"OKS-07";"LOW";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:55";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"660";"2";"0";"SUCCESS";"2024/04/14 13:06:51";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"307";"Rok vìdecká notace E";"15";"OKS-07";"LOW";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:55";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"661";"3";"0";"SUCCESS";"2024/04/14 13:06:53";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"307";"Rok vìdecká notace E";"15";"OKS-07";"LOW";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:06:55";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"662";"4";"0";"SUCCESS";"2024/04/14 13:06:55";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"308";"Žádná hodnota";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:07:22";"TC.04.03.02.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"663";"1";"0";"SUCCESS";"2024/04/14 13:07:19";"admin";"0";""
"";"";"";"";"87";"1";"Iterace";"";"";"";"";"308";"Žádná hodnota";"15";"OKS-07";"MEDIUM";"";"4";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:07:22";"TC.04.03.02.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"664";"2";"0";"SUCCESS";"2024/04/14 13:07:22";"admin";"0";""
