"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"268";"FPR";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:35:11";"TC.04.02.01.07";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"787";"1";"0";"SUCCESS";"2024/04/14 13:34:28";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"268";"FPR";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:35:11";"TC.04.02.01.07";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"788";"2";"0";"FAILURE";"2024/04/14 13:35:11";"admin";"0";"Místo R15B0123P se zobrazilo P15B0123P"
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"270";"FPE";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:35:23";"TC.04.02.01.06";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"789";"1";"0";"SUCCESS";"2024/04/14 13:35:22";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"270";"FPE";"15";"OKS-07";"MEDIUM";"";"2";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:35:23";"TC.04.02.01.06";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"790";"2";"0";"SUCCESS";"2024/04/14 13:35:23";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"272";"Rok 00";"15";"OKS-07";"VERY_HIGH";"";"5";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:36:30";"TC.04.02.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"791";"1";"0";"SUCCESS";"2024/04/14 13:36:01";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"272";"Rok 00";"15";"OKS-07";"VERY_HIGH";"";"5";"0";"0";"";"FAILURE";"admin";"2024/04/14 13:36:30";"TC.04.02.02.01";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"792";"2";"0";"FAILURE";"2024/04/14 13:36:30";"admin";"0";"A00N9876k - kombinované studium má malé písmeno."
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"273";"Rok 18_";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:36:55";"TC.04.02.02.07";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"793";"1";"0";"SUCCESS";"2024/04/14 13:36:51";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"273";"Rok 18_";"15";"OKS-07";"MEDIUM";"";"3";"0";"0";"";"SUCCESS";"admin";"2024/04/14 13:36:55";"TC.04.02.02.07";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"794";"2";"0";"SUCCESS";"2024/04/14 13:36:55";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"274";"Rok 21";"15";"OKS-07";"VERY_HIGH";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:48:59";"TC.04.02.02.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"406";"1";"0";"SUCCESS";"2024/04/13 13:48:56";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"274";"Rok 21";"15";"OKS-07";"VERY_HIGH";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:48:59";"TC.04.02.02.02";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"407";"2";"0";"SUCCESS";"2024/04/13 13:48:59";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"275";"Rok 36";"15";"OKS-07";"LOW";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:49:06";"TC.04.02.02.03";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"408";"1";"0";"SUCCESS";"2024/04/13 13:49:05";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"275";"Rok 36";"15";"OKS-07";"LOW";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:49:06";"TC.04.02.02.03";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"409";"2";"0";"SUCCESS";"2024/04/13 13:49:06";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"276";"Rok 80";"15";"OKS-07";"LOW";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:49:13";"TC.04.02.02.04";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"410";"1";"0";"SUCCESS";"2024/04/13 13:49:11";"admin";"0";""
"";"";"";"";"86";"1";"Iterace";"";"";"";"";"276";"Rok 80";"15";"OKS-07";"LOW";"";"1";"0";"0";"";"SUCCESS";"admin";"2024/04/13 13:49:13";"TC.04.02.02.04";"NAT_UNDEFINED";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"411";"2";"0";"SUCCESS";"2024/04/13 13:49:13";"admin";"0";""
